ID,DataYear,ReportingStatus,GrossFloorArea,TotalGHGEmissions,GHGIntensity,NumberOfBuildings,ChicagoEnergyRating,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI
101961,2020,Submitted Data,311003.0,2388.5,7.9,1,3.0,63,8659372.7,19525200.4,,,,93.6,148.7,98.4,153.7
173857,2020,Submitted Data,200000.0,1283.1,6.4,1,2.5,57,2734994.3,16121333.0,,,,94.3,122.9,99.8,128.7
242563,2020,Submitted Data,344323.0,1964.3,7.1,1,2.0,47,8344073.4,12464463.5,,,,74.9,131.2,78.1,134.4
116752,2020,Submitted Data,68664.0,723.0,10.5,1,1.0,12,3806013.4,2429039.2,,,,90.8,192.3,93.7,198.9
115046,2020,Submitted Data,114400.0,657.7,5.7,1,1.5,38,1707115.8,7366474.7,,,,79.3,109.4,84.0,114.3
160208,2020,Submitted Data,72000.0,1455.6,20.2,1,2.0,26,7092609.8,6564979.8,,,,189.7,371.6,189.7,371.6
222943,2020,Submitted Data,579783.0,2775.5,5.1,2,4.0,85,1287153.1,48472538.7,,,,92.3,101.1,98.9,107.9
118892,2020,Submitted Data,490568.0,2837.8,7.5,1,2.0,41,11421519.7,19866551.2,,,,82.4,139.2,85.4,141.7
103962,2020,Not Submitted,75300.0,,,,0.0,,,,,,,,,,
160383,2020,Submitted Data,247000.0,1638.4,6.6,1,3.5,59,4511342.8,17590419.5,,,,89.5,125.9,93.9,130.5
251451,2020,Submitted Data,62071.0,571.2,9.2,1,2.0,15,2363458.7,3809910.0,,,,99.5,171.1,103.0,174.1
254153,2020,Submitted Data,63110.0,219.8,4.4,1,4.0,86,825649.4,1711368.1,,,,50.8,82.2,52.5,83.2
251235,2020,Submitted Data,108587.0,994.3,10.4,1,1.0,4,5844800.9,1545771.6,,,,77.6,188.9,81.3,198.9
102336,2020,Submitted Data,206154.0,926.8,5.1,1,4.0,89,2249637.3,9225368.1,,,,66.0,90.7,70.0,94.6
160198,2020,Submitted Data,385000.0,1665.4,4.3,1,4.0,99,6875145.0,11153711.0,,,,46.8,80.4,46.8,80.4
