id,name,address,type
101681,Ascension Resurrection Medical Center Campus.,7435 West Talcott Avenue,Hospital (General Medical & Surgical)
101682,Triangle Plaza,8750-8770 West Bryn Mawr Ave,Office
101686,Harlem-Foster Shopping Center,7240 West Foster Avenue,Strip Mall
101691,Mildred Court Condominium Association,2701 N Mildred Ave,Multifamily Housing
101703,AlgonOuin #2,1606 E. 50th Street,Multifamily Housing
101705,AlgonOuin #4,1607 E. 50th Street,Multifamily Housing
101707,111 East Wacker Drive,111 East Wacker Drive,Office
101708,233 North Michigan Avenue,233 North Michigan Avenue,Office
101709,20 North Wacker Drive,20 North Wacker Drive,Office
101710,AlgonOuin #1,1605 E. 50th Street,Multifamily Housing
101713,Aon Center,200 E. Randolph Street,Office
101715,The Franklin (227 West Monroe; 222 West Adams),227 West Monroe,Office
101716,311 S. Wacker,311 South Wacker,Office
101717,55 East Monroe Office,55 East Monroe Street,Office
101718,70 W Madison,70 W. Madison St,Office
101720,131 S Dearborn 3,131 S Dearborn,Financial Office
101722,500 West Monroe,500 West Monroe,Office
101724,Tribune Tower (435 N Michigan Avenue),435 N Michigan Avenue,Multifamily Housing
101727,Accenture Tower,500 West Madison Street,Office
101729,540 West Madison,540 W. Madison,Financial Office
101731,175 W. Jackson,175 W. Jackson,Office
101733,Two North Riverside Plaza,2 North Riverside Plaza,Office
101735,71215A State St,101 N State St E,Retail Store
101736,71 South Wacker,71 S. Wacker Drive,Office
101737,100 North Riverside Plaza,100 N Riverside Plaza,Office
101738,300 E Randolph,300 E Randolph,Office
101739,One South Dearborn,1 South Dearborn,Office
101742,Thompson Center,100 W Randolph St,Office
101744,One North Wacker,One North Wacker Drive,Office
101745,161 North Clark,161 North Clark,Office
101748,One South Wacker,1 S. Wacker,Office
101751,,7500  S SOUTH SHORE DR,Multifamily Housing
101753,222 South Riverside,222 South Riverside Plaza,Office
101755,Harris Bank Building,115 S LaSalle St,Office
101756,Cook County Building,118 N. Clark St.,Office
101757,IL0000FC-CHICAGO FEDERAL CTR,219 S Dearborn,Mixed Use Property
101760,Leo Burnett Building,35 W. Wacker Dr.,Office
101762,RICHARD J. DALEY CENTER,50 W. Washington,Courthouse
101765,77 West Wacker Drive,77 W. Wacker Drive,Office
101766,181 West Madison,181 W Madison Street,Office
101770,10/30 South Wacker,10 S Wacker Dr,Office
101776,Hyatt Regency Chicago,151 East Wacker Drive,Hotel
101784,Auditorium Building,430 S. Michigan Ave,College/University
101787,111 N Canal,111 N. Canal St.,Office
101788,333 West Wacker,333 West Wacker Drive,Office
101789,200 West Madison (Brightly),200 West Madison Street,Office
101790,The Jewelers Building,35 East Wacker Drive,Office
101791,55 West Monroe,55 West Monroe,Office
101793,Wrightwood,625 West Wrightwood,Multifamily Housing
101794,225 W Wacker,225 W Wacker Dr,Office
101795,541 N Fairbanks,541 N Fairbanks,Office
101797,303 E. Wacker,303 E. Wacker,Office
101798,Headquarters Q12380,225 W Randolph,Office
101799,200 South Wacker Property LLC,200 South Wacker Drive,Office
101801,Michigan Plaza,205/225 N Michigan Ave,Office
101804,401 N Michigan Avenue,401 N Michigan Avenue,Office
101807,Fine Arts Building,408 410 S. Michigan Ave,Office
101812,One North Dearborn,1-17 N. Dearborn Street,Office
101813,150 North Michigan,150 North Michigan Avenue,Office
101815,"Magnolia Gardens, LLC",4845 4859 N Magnolia Ave,Multifamily Housing
101816,5041 - North Bridge Block 119 and 120,43 E Ohio St,Enclosed Mall
101827,Burnham Center,111 West Washington,Office
101828,Indiana Terrace Apartments,6000 S. Indiana Ave,Multifamily Housing
101830,251010 - Quaker Tower,555 West Monroe Street,Office
101834,One North Franklin (PNC Center),1 N. Franklin,Office
101835,230 W Monroe,230 W Monroe,Office
101838,191 North Wacker,191 North Wacker Drive,Office
101839,120 South Riverside Plaza,120 South Riverside Plaza,Office
101840,8602,710 Lake Shore Dr,College/University
101841,122 Property LLC,122 S. Michigan Ave.,Office
101846,200 West Adams St.,200 West Adams St.,Office
101848,200 West Monroe,200 W. Monroe,Office
101850,One East Wacker,One East Wacker Drive,Office
101851,150-160 E. Huron,150-160 E. Huron,Hotel
101852,29SA6-CHIGS-Sheraton Grand Chicago,301 E. North Water Street,Hotel
101854,10 South Riverside Plaza,10 South Riverside Plaza,Office
101856,111 West Jackson,111 West Jackson Blvd,Office
101862,101 North Wacker,101 North Wacker Drive,Office
101865,100/150 S. Wacker,150 South Wacker,Office
101867,125 South Wacker,125 S Wacker Drive,Office
101868,AG 300 South Wacker Owner LLC,300 South Wacker Drive,Office
101869,Hotel Chicago,333 N Dearborn Street,Hotel
101871,123 N Wacker,123 N Wacker,Office
101872,100 North La Salle Street,100 North La Salle Street,Office
101874,444 N. Michigan,444 N. Michigan Avenue,Office
101876,55 E. Jackson AcOuisitions LLC,55 E. Jackson Blvd,Office
101878,200 West Jackson Boulevard Building,200 West Jackson Blvd.,Office
101881,25 E Washington,25 East Washington Street,Office
101883,Omni Hotel,676 N Michigan Ave,Hotel
101887,550 West Adams,550 W. Adams,Office
101889,333 North Michigan,333 North Michigan Ave,Office
101890,8890,345 E. Superior,College/University
101891,224 South Michigan Avenue,224 South Michigan Avenue,Office
101899,6830 N SHERIDAN RD,6830 N Sheridan,Multifamily Housing
101900,"WASHINGTON FRANKLIN, LLC",309 W. Washington St,Office
101901,1123 - The Allegro Royal Sonesta - 171 W Randolph - SVC,171 W Randolph St,Hotel
101907,225 West Washington,225 West Washington,Office
101910,154-60 N LASALLE,160 N. Lasalle St.,Office
101912,550 West Washington,550 West Washington,Office
101913,Chicago Transit Authority - 567 W Lake Street,567 W. Lake Street,Office
101918,Randolph Wells,205 W Randolph,Office
101919,MarOuette Building,140 South Dearborn Street,Office
101920,The Wrigley Building,400-410 N Michigan Avenue,Office
101923,311 West Monroe,311 West Monroe,Office
101924,Onni Van Buren Chicago LLC,550 West Van Buren Street,Office
101929,200 S. Michigan Ave,200 S. Michigan Ave,Office
101934,"321 N. Clark Property, LLC",321 North Clark,Office
101935,500 N Michigan,500 N Michigan,Office
101940,Mallers Building LLC,5 S. Wabash Ave.,Enclosed Mall
101942,Nordstrom #220 Michigan Avenue,55 E Grand Ave,Retail Store
101943,303 West Madison,303 West Madison,Office
101950,332 Property LLC,332 South Michigan Ave.,Office
